CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1052403,River Sheoak,Casuarina cunninghamiana,Casuarina,Casuarinaceae,53,1900,2/1/00,Mature,21-30 years,30,NA,Park,30/9/20,"(-37.79884111557788, 144.92305063139636)",-37.79884112,144.9230506,317142.36,5814471.81
1063725,Ashy Silktassel,Garrya flavescens,Garrya,Garryaceae,100,2000,1/1/00,Mature,11-20 years,20,NA,Park,30/9/20,"(-37.82010852902893, 144.97119920333455)",-37.82010853,144.9711992,321433.13,5812204.99
1013888,London Plane,Platanus x acerifolia,Platanus,Platanaceae,23,1900,2/1/00,Semi-Mature,1-5 years (<50% canopy),5,NA,Street,30/9/20,"(-37.806670115216576, 144.94741033372964)",-37.80667012,144.9474103,319306.34,5813650.45
1043118,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.792746470706646, 144.95083431767478)",-37.79274647,144.9508343,319573.91,5815202.12
1024431,London Plane,Platanus x acerifolia,Platanus,Platanaceae,66,1900,1/1/00,Mature,21-30 years,30,NA,Street,30/9/20,"(-37.81868085487426, 144.96364879957517)",-37.81868085,144.9636488,320765.05,5812348.95
1063478,Kanooka,Tristaniopsis laurina,Tristaniopsis,Myrtaceae,17,2000,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.79515116735288, 144.9274851153045)",-37.79515117,144.9274851,317523.74,5814889.94
1023132,London Plane,Platanus x acerifolia,Platanus,Platanaceae,12,1900,2/1/00,Semi-Mature,6-10 years (<50% canopy),10,NA,Street,30/9/20,"(-37.804145445272646, 144.96634618334906)",-37.80414545,144.9663462,320967.38,5813967.06
1063616,Hedge Maple,Acer campestre,Acer,Sapindaceae,12,1900,1/1/00,Semi-Mature,6-10 years (>50% canopy),10,NA,Park,30/9/20,"(-37.79342574528241, 144.9198926512904)",-37.79342575,144.9198927,316850.92,5815066.55
1061268,Chinese Elm,Ulmus parvifolia,Ulmus,Ulmaceae,32,1900,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.82340205272119, 144.96047477085767)",-37.82340205,144.9604748,320497.09,5811818.96
1047912,Bottlebrush,Callistemon unknown,Callistemon,Myrtaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.78925694570048, 144.94879541605138)",-37.78925695,144.9487954,319385.87,5815585.4
1035060,English Elm,Ulmus procera,Ulmus,Ulmaceae,73,1900,1/1/00,Mature,1-5 years (<50% canopy),5,NA,Park,30/9/20,"(-37.84266184591178, 144.9843128108516)",-37.84266185,144.9843128,322641.48,5809727.33
1058841,London Plane,Platanus x acerifolia,Platanus,Platanaceae,9,1900,1/1/00,Juvenile,21-30 years,30,NA,Street,30/9/20,"(-37.81830371554354, 144.95718754847448)",-37.81830372,144.9571875,320195.37,5812378.38
1031778,Chinese Windmill Palm,Trachycarpus fortunei,Trachycarpus,Arecaceae,NA,1900,2/1/00,NA,NA,NA,NA,Park,30/9/20,"(-37.83251833915344, 144.97709582332485)",-37.83251834,144.9770958,321982.01,5810839.18
1024341,London Plane,Platanus x acerifolia,Platanus,Platanaceae,NA,1900,1/1/00,NA,NA,NA,NA,Street,30/9/20,"(-37.81865505560978, 144.95524425312453)",-37.81865506,144.9552443,320025.16,5812335.65
1013951,Yellow Gum,Eucalyptus leucoxylon,Eucalyptus,Myrtaceae,32,1900,1/1/00,Semi-Mature,21-30 years,30,NA,Street,30/9/20,"(-37.80620553876297, 144.94193627604517)",-37.80620554,144.9419363,318823.26,5813691.4
